Acc
TimeStamp;X;Y;Z
1702903790699;-0.006318748462945223;-0.014163765124976635;0.9957065582275391
1702903790758;-0.006898730061948299;-0.014560594223439693;0.9974770545959473
1702903790818;-0.006837679538875818;-0.015751082450151443;0.9980875253677368
1702903790891;-0.006562951486557722;-0.014957424253225327;0.997782289981842
1702903790956;-0.0055861398577690125;-0.013522732071578503;0.9969580769538879
1702903791032;-0.0070818825624883175;-0.014560594223439693;0.9956760406494141
1702903791087;-0.006715578027069569;-0.01483532227575779;0.9963170886039734
1702903791158;-0.006196646951138973;-0.014407968148589134;0.9958286881446838
1702903791233;-0.006410324480384588;-0.013583783060312271;0.9962254762649536
1702903791337;-0.006196646951138973;-0.013583783060312271;0.9966223239898682
1702903791376;-0.006562951486557722;-0.01526267733424902;0.9967444539070129
1702903791458;-0.007020831573754549;-0.015659507364034653;0.9983622431755066
1702903791485;-0.006379799451678991;-0.014743746258318424;0.9973549246788025
1702903791552;-0.006288222968578339;-0.013370105996727943;0.9961644411087036
1702903791625;-0.006257697939872742;-0.014346917159855366;0.9959507584571838
1702903791715;-0.006562951486557722;-0.014530069194734097;0.9968970417976379
1702903791758;-0.007203984074294567;-0.015201627276837826;0.9963170886039734
1702903791825;-0.0064408499747514725;-0.014438493177294731;0.9979959726333618
1702903791909;-0.006410324480384588;-0.0144995441660285;0.9968360066413879
1702903791965;-0.006837679538875818;-0.01407218910753727;0.9970191717147827
1702903792023;-0.006349273957312107;-0.014285866171121597;0.9979654550552368
1702903792104;-0.006532425992190838;-0.014407968148589134;0.9967749714851379
1702903792166;-0.007112407591193914;-0.016331065446138382;0.9961644411087036
1702903792228;-0.005860868375748396;-0.013309055007994175;0.9969580769538879
1702903792292;-0.007142933085560799;-0.015720557421445847;0.9979654550552368
1702903792355;-0.005860868375748396;-0.014530069194734097;0.9973549246788025
1702903792428;-0.006318748462945223;-0.014652170240879059;0.9968360066413879
1702903792491;-0.006532425992190838;-0.014407968148589134;0.9972022771835327
1702903792565;-0.006379799451678991;-0.013919562101364136;0.9969886541366577
1702903792637;-0.0053724623285233974;-0.013461682014167309;0.9971107244491577
1702903792685;-0.006715578027069569;-0.014865848235785961;0.9963781237602234
1702903792762;-0.005952444393187761;-0.014621645212173462;0.9964086413383484
1702903792807;-0.006562951486557722;-0.014377442188560963;0.9968360066413879
1702903792892;-0.007356610614806414;-0.01614791341125965;0.9983317255973816
1702903792960;-0.006837679538875818;-0.014530069194734097;0.9968054890632629
1702903793021;-0.006318748462945223;-0.01544582936912775;0.9973244071006775
1702903793079;-0.004975632764399052;-0.013370105996727943;0.9964696764945984
1702903793156;-0.006898730061948299;-0.015384779311716557;0.9956455230712891
1702903793243;-0.006318748462945223;-0.01569003239274025;0.9970802068710327
1702903793292;-0.006288222968578339;-0.014591120183467865;0.9966833591461182
1702903793363;-0.006837679538875818;-0.014530069194734097;0.9967138767242432
1702903793474;-0.006837679538875818;-0.01511005125939846;0.9964086413383484
1702903793476;-0.007875541225075722;-0.016575267538428307;0.9980875253677368
1702903793555;-0.006318748462945223;-0.014774272218346596;0.9975075721740723
1702903793626;-0.005982969421893358;-0.014865848235785961;0.9962254762649536
1702903793694;-0.006562951486557722;-0.015354253351688385;0.9966528415679932
1702903793753;-0.0062271724455058575;-0.015323728322982788;0.9968970417976379
1702903793824;-0.006196646951138973;-0.014438493177294731;0.9969275593757629
1702903793907;-0.006349273957312107;-0.015018475241959095;0.9968665242195129
1702903793956;-0.007265034597367048;-0.015720557421445847;0.997812807559967
1702903794039;-0.006685052998363972;-0.015201627276837826;0.9974465370178223
1702903794106;-0.005708241369575262;-0.013095377013087273;0.997904360294342
1702903794175;-0.006776629015803337;-0.014987949281930923;0.9963476061820984
1702903794230;-0.006105070933699608;-0.015354253351688385;0.9961339235305786
1702903794302;-0.007478712126612663;-0.014804797247052193;0.9963781237602234
1702903794356;-0.0066545275039970875;-0.014377442188560963;0.9971717596054077
1702903794428;-0.0072955600917339325;-0.016117388382554054;0.9985148906707764
1702903794494;-0.007112407591193914;-0.01605633646249771;0.9975991249084473
1702903794569;-0.006807154044508934;-0.015934236347675323;0.9987896084785461
